,Attraction Name,Description,Category,Estimated Budget,Min_Budget,Max_Budget,Sentiment_Score,State
333,Museum of Goa,"Dedicated to contemporary art and culture, the Museum of Goa showcases the works of local and international artists. Visitors can explore art exhibitions, attend workshops, and participate in cultural events and performances.",Museum,₹100 - ₹300 per person,100.0,300.0,0.4588,Goa
334,Ancestral Goa Museum,"Also known as the Big Foot Museum, Ancestral Goa Museum offers insights into Goan culture and heritage. Visitors can explore traditional Goan houses, witness cultural performances, and learn about local customs and traditions.",Cultural Museum,₹100 - ₹300 per person,100.0,300.0,0.0,Goa
335,Three Kings Chapel,"Perched atop a hill in Cansaulim, Three Kings Chapel offers panoramic views of the Arabian Sea. Visitors can climb the steps to the chapel, offer prayers, and enjoy breathtaking vistas of the surrounding landscape.",Religious Site,Free entry,,,0.7351,Goa
336,Arambol Beach,"Located in North Goa, Arambol Beach is known for its bohemian vibe, scenic beauty, and vibrant atmosphere. Visitors can relax on the beach, indulge in yoga and meditation sessions, and enjoy live music and performances.",Beach Destination,₹100 - ₹500 per person,100.0,500.0,0.9231,Goa
337,Fontainhas,"The Latin Quarter of Panaji, Fontainhas is known for its colorful Portuguese-style houses, narrow streets, and charming ambiance. Visitors can take guided walking tours, admire the architecture, and explore art galleries and boutiques.",Cultural Heritage,Free entry,,,0.7845,Goa
338,Devil's Canyon,"A hidden gem in Goa, Devil's Canyon offers stunning views of the wilderness and the Dudhsagar River. Visitors can trek through rugged terrain, discover hidden caves and waterfalls, and experience the thrill of adventure amidst nature.",Adventure Destination,₹200 - ₹1000 per person,200.0,1000.0,0.7506,Goa
339,Salim Ali Bird Sanctuary,"Located on the island of Chorao, the Salim Ali Bird Sanctuary is a paradise for birdwatchers and nature enthusiasts. Visitors can explore mangrove forests, spot migratory birds, and enjoy boat rides through the tranquil waters.",Nature Sanctuary,₹100 - ₹500 per person,100.0,500.0,0.875,Goa
340,Candolim Beach,"Situated in North Goa, Candolim Beach is known for its serene atmosphere, water sports, and beach shacks. Visitors can relax on the sandy shores, indulge in activities like parasailing and jet skiing, and savor Goan delicacies.",Beach Destination,₹100 - ₹500 per person,100.0,500.0,0.8126,Goa
341,Sahakari Spice Farm,"Located in Ponda, Sahakari Spice Farm offers guided tours where visitors can learn about organic farming practices, spice cultivation, and traditional Goan cuisine. Visitors can also enjoy elephant rides, birdwatching, and cultural performances.",Cultural Experience,₹500 - ₹1500 per person,500.0,1500.0,0.4939,Goa
342,Terekhol River,"Flowing through North Goa, the Terekhol River offers scenic boat cruises amidst lush mangrove forests and quaint villages. Visitors can enjoy sunset cruises, spot birds and dolphins, and experience the tranquil beauty of Goa's backwaters.",Nature Destination,₹200 - ₹1000 per person,200.0,1000.0,0.802,Goa
343,Secretariat Building,"Located in Panaji, the Secretariat Building is an architectural marvel that houses the state's administrative offices. Visitors can admire the colonial-era architecture, take photographs, and learn about Goa's governance.",Historical Landmark,Free entry,,,0.7096,Goa
344,Tito's Nightclub,"One of the most iconic nightclubs in Goa, Tito's Nightclub is known for its energetic atmosphere, pulsating music, and lively dance floors. Visitors can party the night away with top DJs, live performances, and signature cocktails.",Nightlife,Varies based on event,,,0.8519,Goa
345,Casa Araujo Alvares,"A historic mansion in Loutolim, Casa Araujo Alvares is renowned for its Indo-Portuguese architecture, antique furnishings, and lush gardens. Visitors can take guided tours of the mansion, admire the intricate woodwork, and explore the surrounding estate.",Historical Landmark,₹100 - ₹500 per person,100.0,500.0,0.5719,Goa
346,Ashwem Beach,"Located in North Goa, Ashwem Beach is known for its pristine sands, crystal-clear waters, and tranquil ambiance. Visitors can relax on the beach, indulge in water sports like surfing and kiteboarding, or enjoy beachside yoga sessions.",Beach Destination,₹200 - ₹1000 per person,200.0,1000.0,0.8316,Goa
347,Curlies Beach Shack,"A legendary beach shack located on Anjuna Beach, Curlies is famous for its laid-back vibe, live music, and delicious seafood. Visitors can enjoy beachfront dining, sip on refreshing cocktails, and soak in the breathtaking views of the Arabian Sea.",Beach Shack,Varies based on order,,,0.872,Goa
348,Sultanpur National Park,A haven for bird watchers Sultanpur National Park is home to a myriad of bird species amidst lush greenery and tranquil surroundings.,Nature Reserve,200 - 500 rupees / per person,200,500.0,0.0516,Haryana
349,Surajkund,A cultural melting pot Surajkund hosts an annual crafts fair showcasing traditional handicrafts cultural performances and culinary delights from across India.,Cultural Festival,300 - 1000 rupees / per person,300,1000.0,0.6486,Haryana
350,Pinjore Gardens,Step into a paradise of manicured lawns cascading fountains and historical charm at Pinjore Gardens offering a serene escape from the bustling city life.,Gardens & Parks,100 - 300 rupees / per person,100,300.0,0.891,Haryana
351,Kurukshetra,Immerse yourself in the epic tales of the Mahabharata at Kurukshetra where historical sites and monuments narrate the ancient saga of righteousness and valor.,Historical Landmark,200 - 500 rupees / per person,200,500.0,0.0,Haryana
352,Brahma Sarovar,An ancient water tank surrounded by temples and ghatsBrahma Sarovar is believed to be the cradle of civilization and a sacred site for pilgrims.,Religious Site,Free entry,0,0.0,0.0,Haryana
353,Kalesar National Park,Embark on a wildlife adventure at Kalesar National Park home to diverse flora and fauna including leopardsdeerand rare bird species.,Wildlife Sanctuary,200 - 500 rupees / per person,200,500.0,0.3182,Haryana
354,Badkhal Lake,Enjoy a serene retreat amidst picturesque surroundings at Badkhal Lake offering boating picnicking and breathtaking views of the Aravalli Hills.,Natural Lake,50 - 200 rupees / per person,50,200.0,0.9118,Haryana
355,Bhima Devi Temple,Architectural marvels await at Bhima Devi Temple dedicated to the goddess Bhima and showcasing intricate carvings and historical artifacts.,Religious Site,Free entry,0,0.0,0.7906,Haryana
356,Dumdama Lake,Escape the city hustle and bustle at Dumdama Lake where water sport adventure activities and lakeside camping promise an exhilarating getaway.,Adventure & Recreation,500 - 1500 rupees / per person,500,1500.0,0.7906,Haryana
357,Sheikh Chilli's Tomb,Pay homage to the legendary Sufi saint Sheikh Chilli at his intricately designed tomb adorned with exquisite artwork and spiritual ambiance.,Historical Landmark,Free entry,0,0.0,0.1027,Haryana
358,Morni Hills,Escape to the tranquil beauty of Morni Hills offering panoramic views trekking trails and opportunities for nature photography.,Hill Station,300 - 800 rupees / per person,300,800.0,0.8074,Haryana
359,Sohna Hills,Discover Sohna Hills known for its hot springs lush landscapes and the iconic Sohna Lake perfect for a relaxing weekend getaway.,Natural Hot Springs,200 - 600 rupees / per person,200,600.0,0.7845,Haryana
360,Sita Mai Temple,Located in the picturesque village of Gurugram Sita Mai Temple is dedicated to Goddess Sita and attracts devotees seeking blessings and serenity.,Religious Site,Free entry,0,0.0,0.9062,Haryana
361,Nahar Singh Mahal,Step back in time at Nahar Singh Mahal a splendid architectural marvel adorned with intricate designs now serving as a museum showcasing royal artifacts and history.,Historical Palace,100 - 300 rupees / per person,100,300.0,0.8402,Haryana
362,Karna Lake,Named after the legendary warrior Karna  Karna Lake is a serene reservoir offering boating lakeside picnics and stunning sunset views amidst tranquil surroundings.,Natural Lake,100 - 300 rupees / per person,100,300.0,0.7003,Haryana
363,Tilyar Lake,Indulge in a day of relaxation and leisure at Tilyar Lake featuring boating facilities lush gardens and a zoo making it an ideal destination for families and nature enthusiasts.,Recreational Lake,50 - 200 rupees / per person,50,200.0,0.8481,Haryana
364,Abubshahar Wildlife Sanctuary,Explore the biodiversity of Abubshahar Wildlife Sanctuary home to endangered species like the Indian pangolin leopard and blackbuck amidst dense forests and grasslands.,Wildlife Sanctuary,200 - 500 rupees / per person,200,500.0,0.3612,Haryana
365,Damdama Lake Adventure Park,Unleash your adventurous spirit at Damdama Lake Adventure Park offering activities like zip-lining rock climbing and obstacle courses against the backdrop of scenic landscapes.,Adventure Park,500 - 1500 rupees / per person,500,1500.0,0.6597,Haryana
366,Gurudwara Manji Sahib,Find solace and spirituality at Gurudwara Manji Sahib a revered Sikh pilgrimage site known for its peaceful ambiance and historical significance.,Religious Site,Free entry,0,0.0,0.8225,Haryana
367,Chhilchhila Wildlife Sanctuary,Embark on a wildlife safari at Chhilchhila Wildlife Sanctuary where you can spot diverse species of birds mammals and reptiles in their natural habitat.,Wildlife Sanctuary,200 - 500 rupees / per person,200,500.0,0.3612,Haryana
368,Bhondsi Nature Park,Escape the city buzz and reconnect with nature at Bhondsi Nature Park featuring lush greenery walking trails and birdwatching opportunities.,Nature Park,Free entry,0,0.0,0.5106,Haryana
369,Narnaul Fort,Unravel the rich history of Narnaul Fort a majestic citadel showcasing Mughal architecture and offering panoramic views of the surrounding landscape.,Historical Fort,100 - 300 rupees / per person,100,300.0,0.5574,Haryana
370,Kos Minar,Marvel at the ancient milestones known as Kos Minar which once marked the distance along the Grand Trunk Road reflecting the historical significance of trade and travel.,Historical Landmark,Free entry,0,0.0,0.7845,Haryana
371,Chandrawati Temple,Pay homage to Goddess Chandrawati at Chandrawati Temple an architectural gem adorned with intricate carvings and revered by devotees for its spiritual aura.,Religious Site,Free entry,0,0.0,0.7003,Haryana
372,Bhindawas Wildlife Sanctuary,Embark on a wildlife adventure at Bhindawas Wildlife Sanctuar home to a variety of migratory bird mammals and reptiles amidst scenic wetlands and marshes.,Wildlife Sanctuary,200 - 500 rupees / per person,200,500.0,0.3182,Haryana
373,Chuharpur Nature Reserve,Immerse yourself in the wilderness of Chuharpur Nature Reserve where dense forests meandering streamsmand diverse flora and fauna await nature enthusiasts.,Nature Reserve,Free entry,0,0.0,0.4215,Haryana
374,Baba Thakur Das Memorial Museum,Explore the life and legacy of Baba Thakur Das at his memorial museum housing artifacts photographs and exhibits depicting his contributions to society.,Historical Museum,50 - 100 rupees / per person,50,100.0,0.0,Haryana
375,Bhindawas Lake,Indulge in birdwatching and boating activities at Bhindawas Lake a serene reservoir surrounded by lush greenery and offering a peaceful retreat away from the city hustle.,Natural Lake,50 - 200 rupees / per person,50,200.0,0.7906,Haryana
376,Dhosi Hill,Unravel the mysteries of Dhosi Hillan ancient geological formation believed to be the site of the mythical Sanjeevani Booti and offering breathtaking views of the Aravalli Range.,Natural Landmark,Free entry,0,0.0,0.4588,Haryana
377,Sheetla Mata Mandir,Seek blessings from Sheetla Mata at her revered temple in Gurugram known for its annual fair and architectural splendor attracting devotees from far and wide.,Religious Site,Free entry,0,0.0,0.9493,Haryana
378,Rakhigarhi Archaeological Site,Explore the ancient Indus Valley civilization at Rakhigarhi Archaeological Sitemone of the largest Harappan sites offering insights into early human settlements and culture.,Archaeological Site,100 - 300 rupees / per person,100,300.0,0.0,Haryana
379,Indira Gandhi Memorial Tulip Garden,Delight in the vibrant hues of tulips at Indira Gandhi Memorial Tulip Garden where thousands of blooms create a mesmerizing floral spectacle amidst scenic surroundings.,Botanical Garden,50 - 100 rupees / per person,50,100.0,0.8555,Haryana
380,Thanesar Historical Site,Step into the past at Thanesar Historical Site where ancient ruins temples and relics narrate the story of the region's illustrious history and cultural heritage.,Historical Site,Free entry,0,0.0,-0.4404,Haryana
381,Rohtak Zoo,Embark on a wildlife journey at Rohtak Zoo home to a diverse array of exotic animals birds and reptiles offering educational experiences and family-friendly outings.,Zoo,50 - 200 rupees / per person,50,200.0,0.0,Haryana
382,Jain Temples of Khandelwal,Marvel at the architectural grandeur of Jain Temples of Khandelwalmadorned with intricate carvingsfrescoes and sculptures depicting Jain cosmology and mythology.,Religious Site,Free entry,0,0.0,0.7783,Haryana
383,Bhondsi Fort,Discover the remnants of Bhondsi Fort a historical citadel nestled amidst greenery offering panoramic views and a tranquil ambiance for picnics and leisurely strolls.,Historical Fort,Free entry,0,0.0,0.0516,Haryana
384,Raja Nahar Singh Palace,Step into the opulent world of Raja Nahar Singh Palace a magnificent architectural marvel showcasing Indo-Saracenic style and housing a museum with royal artifacts.,Historical Palace,100 - 300 rupees / per person,100,300.0,0.7717,Haryana
385,Prithvi Nath Mahadev Mandir,Pay homage to Lord Shiva at Prithvi Nath Mahadev Mandir a revered temple known for its ancient lingam and spiritual significance amidst serene surroundings.,Religious Site,Free entry,0,0.0,0.7906,Haryana
386,Mango Garden,Indulge in the flavors of nature at Mango Garden an orchard boasting a variety of mango cultivars offering fruit-picking experiences and agricultural insights.,Fruit Orchard,50 - 100 rupees / per person,50,100.0,0.0,Haryana
387,Mata Mansa Devi Mandir,Seek blessings from Mata Mansa Devi at her sacred temple atop the Bilwa Parvat hill offering panoramic views of the city and a serene ambiance for devotees.,Religious Site,Free entry,0,0.0,0.7906,Haryana
388,Karna Lake Adventure Park,Experience adrenaline-pumping thrills at Karna Lake Adventure Park offering activities like ziplining rope courses and rock climbing amidst scenic surroundings.,Adventure Park,500 - 1500 rupees / per person,500,1500.0,0.743,Haryana
389,Sita Ram Mandir,Find solace and spiritual rejuvenation at Sita Ram Mandir  a serene temple dedicated to Lord Rama and Goddess Sita featuring beautiful architecture and peaceful ambiance.,Religious Site,Free entry,0,0.0,0.9201,Haryana
390,Asola Bhatti Wildlife Sanctuary,Embark on a nature trail at Asola Bhatti Wildlife Sanctuary where diverse flora and fauna thrive amidst rocky terrain offering opportunities for birdwatching and photography.,Wildlife Sanctuary,Free entry,0,0.0,0.3818,Haryana
391,Baba Mastnath University Museum,Explore the rich cultural heritage of Haryana at Baba Mastnath University Museum housing artifact  manuscripts and artworks showcasing the region's history and traditions.,Museum,50 - 100 rupees / per person,50,100.0,0.5574,Haryana
392,Faridabad Eco Park,Escape the urban chaos and reconnect with nature at Faridabad Eco Park featuring lush greener  walking trail  and recreational activities for visitors of all ages.,Ecological Park,Free entry,0,0.0,-0.4588,Haryana
393,Khor Wildlife Sanctuary,Discover the biodiversity of Khor Wildlife Sanctuary a haven for wildlife enthusiasts and birdwatchers offering glimpses of rare species amidst scenic landscapes.,Wildlife Sanctuary,Free entry,0,0.0,0.34,Haryana
394,Bawani Khera Bird Sanctuary,Immerse yourself in the avian wonders of Bawani Khera Bird Sanctuary home to migratory and resident bird species offering birdwatching and nature photography opportunities.,Bird Sanctuary,Free entry,0,0.0,0.3818,Haryana
395,Bhiwani Science Museum,Engage in interactive learning experiences at Bhiwani Science Museum  where exhibits and demonstrations explore various scientific principles and phenomena in a fun and educational manner.,Science Museum,50 - 100 rupees / per person,50,100.0,0.6908,Haryana
396,Panchkula Urban Park,Unwind amidst greenery and tranquility at Panchkula Urban Park offering jogging tracks  children's play areas and serene spots for relaxation amidst urban landscapes.,Urban Park,Free entry,0,0.0,0.891,Haryana
397,Ghanteshwar Mandir,Experience divine bliss at Ghanteshwar Mandir dedicated to Lord Shiva and adorned with intricately carved sculptures  offering spiritual solace and architectural splendor.,Religious Site,Free entry,0,0.0,0.9442,Haryana
398,Sohna Sulphur Springs,Relax and rejuvenate in the therapeutic waters of Sohna Sulphur Springs  known for their medicinal properties and tranquil ambiance.,Natural Hot Springs,200 - 600 rupees / per person,200,500.0,0.4767,Haryana
399,Panipat Museum,Trace the historic Battle of Panipat and the region's cultural heritage at Panipat Museum featuring artifacts paintings and exhibits depicting significant events and personalities.,Museum,50 - 100 rupees / per person,50,100.0,-0.2023,Haryana
400,Raja Ki Mandi,Marvel at the grandeur of Raja Ki Mandi a historical marketplace showcasing Mughal architecture and bustling with vibrant colors fragrances and flavors of local culture.,Historical Market,Variable depending on purchases,0,0.0,0.8625,Haryana
401,Nahar Singh Cricket Stadium,Experience the thrill of cricket at Nahar Singh Cricket Stadium a state-of-the-art venue hosting domestic and international matches amidst electrifying atmosphere.,Sports Arena,Ticket prices vary,0,0.0,0.3612,Haryana
402,Kund Hot Water Spring,Indulge in a soothing dip at Kund Hot Water Spring where natural geothermal waters offer relaxation and rejuvenation amidst scenic landscapes.,Natural Hot Springs,100 - 300 rupees / per person,100,300.0,0.802,Haryana
403,Gurudwara Badshah Singh,Find peace and solace at Gurudwara Badshah Singh a revered Sikh shrine known for its historical significance and spiritual ambiance.,Religious Site,Free entry,0,0.0,0.836,Haryana
404,Kaithal Quila,Explore the remnants of Kaithal Quila a medieval fortress reflecting the region's rich history and architectural heritage.,Historical Fort,Free entry,0,0.0,0.5574,Haryana
405,Yadvinder Garden,Unwind amidst lush greenery and serene ambiance at Yadvinder Garden offering a tranquil escape from the hustle and bustle of city life.,Gardens & Parks,Free entry,0,0.0,0.5994,Haryana
406,Hanuman Mandir,Seek blessings from Lord Hanuman at Hanuman Mandir a sacred temple revered by devotees for its spiritual sanctity and divine aura.,Religious Site,Free entry,0,0.0,0.8979,Haryana
407,Kingdom of Dreams,Experience the magic of live entertainment at Kingdom of Dreams an extravagant cultural and entertainment complex featuring theatrical performances music and cuisine.,Entertainment Complex,1000 - 3000 rupees / per person,1000,3000.0,0.8074,Haryana
408,Leisure Valley Park,Stroll through the picturesque Leisure Valley Park a green oasis in the heart of Gurugram offering jogging tracks sculptures and serene spots for relaxation.,Urban Park,Free entry,0,0.0,0.8402,Haryana
409,Sai Ka Angan,Soothe your soul at Sai Ka Angan a serene retreat dedicated to Shirdi Sai Babafeaturing prayer halls meditation spaces and peaceful gardens.,Religious Site,Free entry,0,0.0,0.91,Haryana
410,Rao Tula Ram Memorial Museum,Explore the life and legacy of freedom fighter Rao Tula Ram at his memorial museumshowcasing artifacts documents and exhibits related to his contributions to the nation.,Historical Museum,50 - 100 rupees / per person,50,100.0,0.7003,Haryana
411,Mata Sheetla Devi Temple,Seek blessings from Mata Sheetla Devi at her revered temple in Gurugram known for its annual fair and spiritual significance.,Religious Site,Free entry,0,0.0,0.8807,Haryana
412,Nahar Singh Cricket Stadium,Experience the thrill of cricket at Nahar Singh Cricket Stadium a state-of-the-art venue hosting domestic and international matches amidst electrifying atmosphere.,Sports Arena,Ticket prices vary,0,0.0,0.3612,Haryana
413,Karna Lake,Enjoy a serene retreat amidst picturesque surroundings at Karna Lake offering boating lakeside picnics and stunning sunset views.,Natural Lake,100 - 300 rupees / per person,100,300.0,0.9042,Haryana
414,Tau Devi Lal Bio Diversity Park,Explore the rich biodiversity of Tau Devi Lal Bio Diversity Park a sprawling green space featuring walking trails birdwatching spots and tranquil lakes.,Nature Park,Free entry,0,0.0,0.5859,Haryana
415,Town Park,Unwind amidst lush greenery and vibrant flowers at Town Park a popular recreational spot in Panipat offering playgrounds jogging tracks and family-friendly amenities.,Urban Park,Free entry,0,0.0,0.7351,Haryana
416,Devi Bhawan Mandir,Pay homage to Goddess Durga at Devi Bhawan Mandir a sacred temple known for its spiritual aura and divine blessings.,Religious Site,Free entry,0,0.0,0.7717,Haryana
417,Bhagwan Parshuram Mandir,Seek blessings at Bhagwan Parshuram Mandir= a revered temple dedicated to the sixth avatar of Lord Vishnu known for its architectural beauty and spiritual significance.,Religious Site,Free entry,0,0.0,0.9403,Haryana
418,Farrukhnagar Fort,Explore the historic Farrukhnagar Fort a magnificent structure built by Faujdar Khan in the 18th century offering panoramic views of the surrounding landscape.,Historical Fort,Free entry,0,0.0,0.5994,Haryana
419,Dharohar Museum,Immerse yourself in the cultural heritage of Haryana at Dharohar Museum where exhibits and artifacts showcase the traditional art crafts and lifestyle of the region.,Cultural Museum,50 - 100 rupees / per person,50,100.0,0.0,Haryana
420,Bhawani Amba Temple,Pay homage to Goddess Bhawani Amba at her sacred temple revered for its spiritual sanctity and architectural grandeur.,Religious Site,Free entry,0,0.0,0.743,Haryana
421,Sai Dham Temple,Experience tranquility at Sai Dham Temple a serene abode dedicated to Shirdi Sai Baba offering prayer halls meditation spaces and serene gardens.,Religious Site,Free entry,0,0.0,0.8957,Haryana
422,Mata Vaishno Devi Mandir,Embark on a spiritual journey at Mata Vaishno Devi Mandir a revered temple dedicated to Goddess Vaishno Devi attracting devotees seeking blessings and divine grace.,Religious Site,Free entry,0,0.0,0.9628,Haryana
423,Rajiv Gandhi Education City,Explore the educational hub of Rajiv Gandhi Education City housing prestigious institutions and research centers amidst green campuses and modern infrastructure.,Educational Complex,Free entry,0,0.0,0.0,Haryana
424,Kos Minar,Marvel at the ancient milestones known as Kos Minar which once marked the distance along the Grand Trunk Road reflecting the historical significance of trade and travel.,Historical Landmark,Free entry,0,0.0,0.7845,Haryana
425,Rohtak Science Centre,Engage in interactive learning experiences at Rohtak Science Centre featuring exhibits and demonstrations on various scientific principles and phenomena.,Science Centre,50 - 100 rupees / per person,50,100.0,0.34,Haryana
426,Sethani Ka Johra,Admire the architectural brilliance of Sethani Ka Johra a historic water tank built by Sethani Champa in the 18th century showcasing Mughal craftsmanship and engineering.,Historical Landmark,Free entry,0,0.0,0.7906,Haryana
427,Badkhal Lake,Enjoy a serene retreat amidst picturesque surroundings at Badkhal Lake offering boating picnicking and breathtaking views of the Aravalli Hills.,Natural Lake,50 - 200 rupees / per person,50,200.0,0.9118,Haryana
428,Kurukshetra Panorama and Science Centre,Immerse yourself in the epic tales of the Mahabharata at Kurukshetra Panorama and Science Centre where interactive exhibits and panoramic displays bring ancient scriptures to life.,Museum,50 - 100 rupees / per person,50,100.0,0.0,Haryana
429,Feroz Shah Palace Complex,Explore the architectural splendor of Feroz Shah Palace Complex a historic site featuring ruins of palaces mosques and gardens offering insights into medieval Haryanvi architecture.,Historical Landmark,Free entry,0,0.0,0.2732,Haryana
430,Bhagwan Valmiki Tirath Sthal,Visit the sacred pilgrimage site of Bhagwan Valmiki Tirath Sthal associated with the sage Valmiki and revered by devotees for its spiritual significance and natural beauty.,Religious Site,Free entry,0,0.0,0.9042,Haryana
431,Kabuli Bagh Mosque,Marvel at the grandeur of Kabuli Bagh Mosque an ancient Mughal-era mosque known for its architectural elegance and historical significance.,Religious Site,Free entry,0,0.0,0.886,Haryana
432,Nehru Park,Escape the city hustle at Nehru Park a sprawling green space offering lush lawns walking trails and recreational facilities for visitors of all ages.,Urban Park,Free entry,0,0.0,0.1779,Haryana
433,Shri Ram Mandir,Seek blessings from Lord Rama at Shri Ram Mandir a sacred temple known for its spiritual aura and architectural beauty.,Religious Site,Free entry,0,0.0,0.8074,Haryana
434,Safidon Fort,Step into the past at Safidon Fort a medieval fortress overlooking the town of Safidon and offering panoramic views of the surrounding countryside.,Historical Fort,Free entry,0,0.0,0.0,Haryana
435,Khel Gaon,Indulge in sports and recreational activities at Khel Gaon a modern sports complex featuring facilities for cricket football tennis and more.,Sports Complex,Ticket prices vary,0,0.0,0.0,Haryana
436,Sardar Vallabhbhai Patel Sports Complex,Participate in sports and fitness activities at Sardar Vallabhbhai Patel Sports Complex equipped with state-of-the-art facilities for various indoor and outdoor sports.,Sports Complex,Ticket prices vary,0,0.0,0.2732,Haryana
437,Sheetla Mata Mandir,Seek blessings from Sheetla Mata at her revered temple in Gurugram known for its annual fair and architectural splendor attracting devotees from far and wide.,Religious Site,Free entry,0,0.0,0.9493,Haryana
438,Sultanpur Bird Sanctuary,Explore the diverse avian species at Sultanpur Bird Sanctuary a paradise for bird watchers and nature enthusiasts offering birdwatching trails and serene surroundings.,Bird Sanctuary,100 - 300 rupees / per person,100,300.0,0.8625,Haryana
439,Shri Krishna Museum,Delve into the life and teachings of Lord Krishna at Shri Krishna Museum where artifacts paintings and sculptures narrate the tales of the divine deity and his devotees.,Cultural Museum,50 - 100 rupees / per person,50,100.0,0.6249,Haryana
440,Dharuhera Fort,Unravel the history of Dharuhera Fort a centuries-old structure reflecting the region's architectural heritage and strategic significance.,Historical Fort,Free entry,0,0.0,0.2732,Haryana
441,Sai Mandir,Experience tranquility at Sai Mandir a serene abode dedicated to Shirdi Sai Baba offering prayer halls meditation space and peaceful ambiance.,Religious Site,Free entry,0,0.0,0.9001,Haryana
442,Rao Tula Ram Park,Stroll through the scenic landscapes of Rao Tula Ram Park featuring lush gardens walking paths and recreational facilities for visitors to unwind and relax.,Urban Park,Free entry,0,0.0,0.4404,Haryana
443,Ansal University,Explore the vibrant campus of Ansal University a leading educational institution offering a range of academic programs and cultural activities amidst modern facilities.,Educational Institution,Free entry,0,0.0,0.5267,Haryana
444,Tau Devi Lal Stadium,Attend sporting events and competitions at Tau Devi Lal Stadium a multipurpose sports complex equipped with facilities for athletics cricket and other outdoor activities.,Sports Arena,Ticket prices vary,0,0.0,0.0,Haryana
445,Shri Mata Mansa Devi Mandir,Seek blessings from Mata Mansa Devi at her sacred temple atop the Bilwa Parvat hill offering panoramic views of the city and spiritual solace for devotees.,Religious Site,Free entry,0,0.0,0.6124,Haryana
446,Banni Khera Farm,Experience rural life at Banni Khera Farm where visitors can engage in farming activities animal husbandry and traditional craftsproviding insights into agrarian culture.,Farm Experience,200 - 500 rupees / per person,200,500.0,0.34,Haryana
447,Hundru Falls,Marvel at the breathtaking Hundru Falls cascading from a height of 98 meters amidst lush greenery offering a picturesque backdrop for nature lovers and photographers.,Waterfall,50 - 200 rupees / per person,50,200.0,0.8957,Jharkhand
448,Dassam Falls,Witness the majestic Dassam Falls plunging from a height of 44 meters into the Kanchi River creating a mesmerizing spectacle amidst scenic landscapes.,Waterfall,50 - 200 rupees / per person,50,200.0,0.296,Jharkhand
449,Baidyanath Jyotirlinga Temple,Seek blessings at Baidyanath Jyotirlinga Temple one of the 12 sacred Jyotirlingas dedicated to Lord Shiva attracting devotees from across the country.,Religious Site,Free entry,0,0.0,0.8779,Jharkhand
450,Ranchi Hill,Enjoy panoramic views of Ranchi city from Ranchi Hill crowned with the iconic Ranchi Hill Tower and offering a serene escape amidst tranquil surroundings.,Hill Station,Free entry,0,0.0,0.7964,Jharkhand
451,Jagannath Temple,Pay homage to Lord Jagannath at Jagannath Temple an ancient shrine known for its architectural grandeur and spiritual significance.,Religious Site,Free entry,0,0.0,0.6249,Jharkhand
452,Rock Garden,Explore the unique Rock Garden in Ranchi where sculptures and structures crafted from rocks and concrete create an enchanting landscape for visitors to admire and explore.,Garden,20 - 50 rupees / per person,20,50.0,0.6369,Jharkhand
453,Jonha Falls,Discover the natural beauty of Jonha Falls also known as Gautamdhara cascading from a height of 43 meters amidst dense forests and serene surroundings.,Waterfall,50 - 200 rupees / per person,50,200.0,0.8519,Jharkhand
454,Hirni Falls,Experience the serene ambiance of Hirni Falls nestled amidst dense forests and offering a tranquil retreat for nature lovers and adventure seekers alike.,Waterfall,50 - 200 rupees / per person,50,200.0,0.8658,Jharkhand
455,Ranchi Lake,Indulge in boating and leisurely strolls along the scenic Ranchi Lake offering a peaceful respite from the hustle and bustle of city life.,Natural Lake,20 - 100 rupees / per person,20,100.0,0.4939,Jharkhand
456,Patratu Valley,Escape to the picturesque Patratu Valley surrounded by verdant hills and offering opportunities for trekking camping and adventure amidst pristine landscapes.,Valley,100 - 500 rupees / per person,100,500.0,0.802,Jharkhand
457,Hundru Falls,Marvel at the breathtaking Hundru Falls cascading from a height of 98 meters amidst lush greenery offering a picturesque backdrop for nature lovers and photographers.,Natural Wonder,50 - 200 rupees / per person,50,200.0,0.8957,Jharkhand
458,Baidyanath Jyotirlinga Temple,Seek blessings at Baidyanath Jyotirlinga Temple one of the 12 sacred Jyotirlingas dedicated to Lord Shiva attracting devotees from across the country.,Religious Site,Free entry,0,0.0,0.8779,Jharkhand
459,Ranchi Hill,Enjoy panoramic views of Ranchi city from Ranchi Hill crowned with the iconic Ranchi Hill Tower and offering a serene escape amidst tranquil surroundings.,Hill Station,Free entry,0,0.0,0.7964,Jharkhand
460,Jagannath Temple,Pay homage to Lord Jagannath at Jagannath Temple an ancient shrine known for its architectural grandeur and spiritual significance.,Religious Site,Free entry,0,0.0,0.6249,Jharkhand
461,Rock Garden,Explore the unique Rock Garden in Ranchi where sculptures and structures crafted from rocks and concrete create an enchanting landscape for visitors to admire and explore.,Garden,20 - 50 rupees / per person,20,50.0,0.6369,Jharkhand
462,Jonha Falls,Discover the natural beauty of Jonha Falls also known as Gautamdhara cascading from a height of 43 meters amidst dense forests and serene surroundings.,Waterfall,50 - 200 rupees / per person,50,200.0,0.8519,Jharkhand
463,Ranchi Lake,Indulge in boating and leisurely strolls along the scenic Ranchi Lake offering a peaceful respite from the hustle and bustle of city life.,Natural Lake,20 - 100 rupees / per person,20,100.0,0.4939,Jharkhand
